question|answer
Apa itu pembatasan (constraint) dalam MySQL|Pembatasan adalah aturan yang diterapkan pada data dalam tabel untuk memastikan integritas data, seperti kunci utama, kunci asing, dan pembatasan unik.
Bagaimana cara menambahkan pembatasan pada tabel dalam MySQL|Anda dapat menambahkan pembatasan pada tabel saat membuat tabel baru atau dengan menggunakan perintah ALTER TABLE untuk menambahkan pembatasan setelah pembuatan tabel.
Apa itu penyimpanan berbasis JSON dalam MySQL|Penyimpanan berbasis JSON adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format JSON di dalam kolom tabel.
Apa itu penyimpanan berbasis XML dalam MySQL|Penyimpanan berbasis XML adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format XML di dalam kolom tabel.
Bagaimana cara membuat indeks komposit dalam MySQL|Anda dapat membuat indeks komposit dalam MySQL dengan menambahkan indeks pada beberapa kolom sekaligus, yang memungkinkan pencarian yang efisien berdasarkan kombinasi nilai dari kolom tersebut.
Apa itu penyimpanan berbasis dokumen dalam MySQL|Penyimpanan berbasis dokumen adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format dokumen, seperti JSON atau XML, di dalam kolom tabel.
Apa itu kebijakan retensi (retention policy) dalam MySQL|Kebijakan retensi adalah aturan yang diterapkan pada data dalam tabel untuk menentukan berapa lama data akan disimpan sebelum dihapus atau diarsipkan.
Bagaimana cara membuat kebijakan retensi dalam MySQL|Anda dapat membuat kebijakan retensi dalam MySQL dengan menentukan aturan penghapusan data berdasarkan tanggal atau kondisi lainnya menggunakan pernyataan SQL.
Apa itu distribusi horizontal dalam MySQL|Distribusi horizontal adalah teknik yang digunakan dalam database terdistribusi di mana data dibagi menjadi beberapa partisi yang disimpan di beberapa node atau server.
Apa itu penyimpanan berbasis dokumen dalam MySQL|Penyimpanan berbasis dokumen adalah fitur MySQL yang memungkinkan Anda menyimpan data dalam format dokumen, seperti JSON atau XML, di dalam kolom tabel.
Apa itu sharding dalam MySQL|Sharding adalah teknik yang digunakan dalam database terdistribusi di mana data dibagi menjadi beberapa bagian yang disebut shard dan didistribusikan di beberapa node atau server.
Bagaimana cara melakukan sharding dalam MySQL|Anda dapat melakukan sharding dalam MySQL dengan membagi data menjadi beberapa shard berdasarkan kriteria tertentu, seperti rentang nilai atau kunci hash, dan mendistribusikannya di beberapa node atau server.
Apa itu eksekusi paralel dalam MySQL|Eksekusi paralel adalah teknik yang digunakan dalam database untuk menjalankan beberapa operasi atau kueri secara bersamaan untuk meningkatkan kinerja.
Bagaimana cara mengaktifkan eksekusi paralel dalam MySQL|Anda dapat mengaktifkan eksekusi paralel dalam MySQL dengan mengkonfigurasi pengaturan seperti jumlah thread eksekusi paralel atau dengan menggunakan perintah SQL yang mendukung eksekusi paralel.
Apa itu penyimpanan berbasis waktu dalam MySQL|Penyimpanan berbasis waktu adalah fitur MySQL yang memungkinkan Anda menyimpan data dengan informasi waktu, seperti tanda waktu pembuatan atau pembaruan, di dalam kolom tabel.
Bagaimana cara mengelola tanda waktu dalam MySQL|Anda dapat mengelola tanda waktu dalam MySQL dengan menggunakan tipe data yang sesuai, seperti TIMESTAMP atau DATETIME, dan menulis kueri yang memanfaatkan informasi waktu.
Apa itu penghapusan lembut (soft delete) dalam MySQL|Penghapusan lembut adalah teknik yang digunakan dalam basis data di mana data yang dihapus tidak dihapus secara permanen tetapi ditandai sebagai tidak aktif atau dihapus.
Bagaimana cara menerapkan penghapusan lembut dalam MySQL|Anda dapat menerapkan penghapusan lembut dalam MySQL dengan menambahkan kolom status atau tanda waktu hapus dan menyesuaikan kueri Anda untuk menangani data yang dihapus secara lembut.
Apa itu replikasi dalam MySQL|Replikasi adalah proses yang digunakan dalam database terdistribusi di mana data disalin dari satu node atau server ke node atau server lain untuk tujuan ketersediaan tinggi atau pencadangan.
Bagaimana cara mengkonfigurasi replikasi dalam MySQL|Anda dapat mengkonfigurasi replikasi dalam MySQL dengan menentukan node master dan node slave, mengaktifkan log biner, dan mengkonfigurasi parameter replikasi pada setiap node.
Apa itu failover dalam replikasi MySQL|Failover adalah proses yang terjadi dalam replikasi MySQL di mana satu node slave diangkat sebagai master jika node master mengalami kegagalan, untuk mempertahankan ketersediaan layanan.
Bagaimana cara mengelola replikasi MySQL|Anda dapat mengelola replikasi MySQL dengan memonitor status replikasi, menangani konflik replikasi, dan melakukan tugas-tugas administratif lainnya menggunakan alat atau perintah yang tersedia.
Apa itu pengalamatan geografis dalam MySQL|Pengalamatan geografis adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data geografis, seperti titik atau wilayah, di dalam kolom tabel.
Bagaimana cara menggunakan pengalamatan geografis dalam MySQL|Anda dapat menggunakan pengalamatan geografis dalam MySQL dengan menggunakan tipe data yang sesuai, seperti POINT atau POLYGON, dan menulis kueri yang memanfaatkan informasi geografis.
Apa itu penyimpanan berbasis JSON dalam MySQL|Penyimpanan berbasis JSON adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format JSON di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis JSON dalam MySQL|Anda dapat menggunakan penyimpanan berbasis JSON dalam MySQL dengan menggunakan tipe data JSON dan menulis kueri yang memanfaatkan struktur data JSON.
Apa itu penyimpanan berbasis XML dalam MySQL|Penyimpanan berbasis XML adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format XML di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis XML dalam MySQL|Anda dapat menggunakan penyimpanan berbasis XML dalam MySQL dengan menggunakan tipe data XML dan menulis kueri yang memanfaatkan struktur data XML.
Apa itu penyimpanan berbasis float dalam MySQL|Penyimpanan berbasis float adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format floating point di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis float dalam MySQL|Anda dapat menggunakan penyimpanan berbasis float dalam MySQL dengan menggunakan tipe data FLOAT atau DOUBLE dan menulis kueri yang memanfaatkan informasi floating point.
Apa itu kueri bersyarat (conditional query) dalam MySQL|Kueri bersyarat adalah kueri dalam MySQL yang mengembalikan hasil berdasarkan kondisi yang ditentukan, seperti WHERE atau HAVING.
Bagaimana cara menulis kueri bersyarat dalam MySQL|Anda dapat menulis kueri bersyarat dalam MySQL dengan menambahkan klausa WHERE atau HAVING setelah pernyataan SELECT, UPDATE, DELETE, atau pernyataan lainnya.
Apa itu fungsi dalam MySQL|Fungsi adalah instruksi dalam MySQL yang menerima input, melakukan operasi tertentu, dan mengembalikan output. Contohnya termasuk fungsi matematika seperti SUM atau fungsi string seperti CONCAT.
Bagaimana cara menggunakan fungsi dalam MySQL|Anda dapat menggunakan fungsi dalam MySQL dengan menulis nama fungsi diikuti oleh parameter dalam pernyataan SQL. Contohnya, CONCAT('Hello', 'World') akan mengembalikan 'HelloWorld'.
Apa itu penyimpanan berbasis ASCII dalam MySQL|Penyimpanan berbasis ASCII adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format ASCII di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis ASCII dalam MySQL|Anda dapat menggunakan penyimpanan berbasis ASCII dalam MySQL dengan menggunakan tipe data CHAR atau VARCHAR dan menulis kueri yang memanfaatkan informasi ASCII.
Apa itu penyimpanan berbasis Unicode dalam MySQL|Penyimpanan berbasis Unicode adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format Unicode di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis Unicode dalam MySQL|Anda dapat menggunakan penyimpanan berbasis Unicode dalam MySQL dengan menggunakan tipe data VARCHAR atau TEXT dengan pengaturan karakter set UTF-8 atau UTF-16.
Apa itu penyimpanan berbasis binary dalam MySQL|Penyimpanan berbasis binary adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format biner di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis binary dalam MySQL|Anda dapat menggunakan penyimpanan berbasis binary dalam MySQL dengan menggunakan tipe data BINARY atau VARBINARY dan menulis kueri yang memanfaatkan informasi biner.
Apa itu penyimpanan berbasis hexadecimal dalam MySQL|Penyimpanan berbasis hexadecimal adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format heksadesimal di dalam kolom tabel.
Bagaimana cara menggunakan penyimpanan berbasis hexadecimal dalam MySQL|Anda dapat menggunakan penyimpanan berbasis hexadecimal dalam MySQL dengan menggunakan tipe data HEX dan menulis kueri yang memanfaatkan informasi heksadesimal.
Apa itu pembatasan unik (unique constraint) dalam MySQL|Pembatasan unik adalah aturan yang diterapkan pada kolom dalam tabel MySQL untuk memastikan bahwa setiap nilai di kolom tersebut adalah unik, yaitu tidak ada nilai yang sama di antara baris lain.
Bagaimana cara menambahkan pembatasan unik pada kolom dalam MySQL|Anda dapat menambahkan pembatasan unik pada kolom dalam MySQL dengan menentukan klausa UNIQUE setelah definisi kolom yang diinginkan saat membuat atau mengubah tabel.
Apa itu pengaturan karakter set (character set) dalam MySQL|Pengaturan karakter set adalah konfigurasi yang digunakan dalam MySQL untuk menentukan set karakter yang dapat digunakan dalam data yang disimpan di dalam kolom tabel.
Bagaimana cara mengatur karakter set dalam MySQL|Anda dapat mengatur karakter set dalam MySQL saat membuat atau mengubah tabel dengan menentukan pengaturan karakter set yang diinginkan menggunakan klausa CHARACTER SET.
Apa itu kolasi (collation) dalam MySQL|Kolasi adalah aturan yang digunakan dalam MySQL untuk membandingkan dan mengurutkan karakter dalam data, yang dapat mempengaruhi cara data diurutkan dan dibandingkan dalam kueri.
Bagaimana cara mengatur kolasi dalam MySQL|Anda dapat mengatur kolasi dalam MySQL saat membuat atau mengubah tabel dengan menentukan pengaturan kolasi yang diinginkan menggunakan klausa COLLATE.
Apa itu trigger dalam MySQL|Trigger adalah blok kode yang dijalankan secara otomatis oleh server MySQL ketika suatu peristiwa tertentu terjadi pada tabel, seperti operasi penyisipan, pembaruan, atau penghapusan.
Bagaimana cara membuat trigger dalam MySQL|Anda dapat membuat trigger dalam MySQL dengan menggunakan pernyataan CREATE TRIGGER, yang menentukan peristiwa yang dipicu, waktu trigger dijalankan, dan blok kode yang dieksekusi.
Apa itu penjadwalan (scheduling) dalam MySQL|Penjadwalan adalah fitur MySQL yang memungkinkan Anda menjalankan pernyataan SQL secara otomatis pada waktu tertentu atau dengan interval tertentu.
Bagaimana cara membuat penjadwalan dalam MySQL|Anda dapat membuat penjadwalan dalam MySQL dengan menggunakan pernyataan CREATE EVENT, yang menentukan jadwal eksekusi, pernyataan yang akan dijalankan, dan interval waktu yang diinginkan.
Apa itu penyimpanan terenkripsi (encrypted storage) dalam MySQL|Penyimpanan terenkripsi adalah fitur MySQL yang memungkinkan Anda menyimpan data dalam bentuk terenkripsi di dalam kolom tabel, yang meningkatkan keamanan data.
Bagaimana cara menggunakan penyimpanan terenkripsi dalam MySQL|Anda dapat menggunakan penyimpanan terenkripsi dalam MySQL dengan menggunakan tipe data yang mendukung enkripsi, seperti VARBINARY dengan kunci enkripsi yang sesuai, dan mengimplementasikan logika enkripsi dan dekripsi dalam aplikasi.
Apa itu tindakan RESTRICT dalam MySQL|Tindakan RESTRICT adalah aturan yang diterapkan pada kunci asing dalam MySQL yang mencegah penghapusan atau pembaruan baris yang memiliki ketergantungan kunci asing di tabel lain.
Apa itu tindakan CASCADE dalam MySQL|Tindakan CASCADE adalah aturan yang diterapkan pada kunci asing dalam MySQL yang memungkinkan penghapusan atau pembaruan baris yang memiliki ketergantungan kunci asing di tabel lain, dan juga secara otomatis mempengaruhi baris yang terkait dalam tabel tersebut.
Apa itu tindakan SET NULL dalam MySQL|Tindakan SET NULL adalah aturan yang diterapkan pada kunci asing dalam MySQL yang mengatur nilai kolom yang terkait menjadi NULL ketika baris yang terkait di tabel utama dihapus atau diperbarui.
Apa itu tindakan NO ACTION dalam MySQL|Tindakan NO ACTION adalah aturan yang diterapkan pada kunci asing dalam MySQL yang mencegah penghapusan atau pembaruan baris yang memiliki ketergantungan kunci asing di tabel lain, tetapi tidak melakukan tindakan apa pun pada baris yang terkait.
Apa itu penguncian (locking) dalam konteks transaksi MySQL|Penguncian dalam konteks transaksi MySQL adalah mekanisme yang digunakan untuk memastikan konsistensi data dengan memblokir akses ke data yang sedang digunakan atau dimodifikasi oleh transaksi lain sampai transaksi saat ini selesai.
Apa itu penguncian (locking) dalam konteks tabel MySQL|Penguncian dalam konteks tabel MySQL adalah mekanisme yang digunakan untuk mencegah akses simultan ke seluruh tabel atau bagian tabel tertentu selama operasi tertentu, seperti operasi penghapusan atau pembaruan.
Apa itu pemantauan kinerja (performance monitoring) dalam MySQL|Pemantauan kinerja adalah proses yang digunakan untuk memantau dan menganalisis kinerja server MySQL, termasuk waktu respon, penggunaan sumber daya, dan beban kerja.
Bagaimana cara melakukan pemantauan kinerja dalam MySQL|Anda dapat melakukan pemantauan kinerja dalam MySQL dengan menggunakan alat bawaan seperti MySQL Performance Schema atau dengan menggunakan alat pihak ketiga seperti Percona Monitoring and Management.
Apa itu penyimpanan berbasis waktu dalam MySQL|Penyimpanan berbasis waktu adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dengan informasi waktu, seperti tanda waktu pembuatan atau pembaruan, di dalam kolom tabel.
Bagaimana cara mengelola tanda waktu dalam MySQL|Anda dapat mengelola tanda waktu dalam MySQL dengan menggunakan tipe data yang sesuai, seperti TIMESTAMP atau DATETIME, dan menulis kueri yang memanfaatkan informasi waktu.
Apa itu pengindeksan (indexing) dalam MySQL|Pengindeksan adalah proses yang digunakan untuk meningkatkan kinerja kueri dengan membuat struktur data tambahan yang mempercepat pencarian dan pengurutan data dalam tabel.
Bagaimana cara melakukan pengindeksan dalam MySQL|Anda dapat melakukan pengindeksan dalam MySQL dengan menambahkan indeks ke kolom yang sering digunakan dalam kueri pencarian atau pengurutan, seperti menggunakan perintah CREATE INDEX.
Apa itu indeks unik (unique index) dalam MySQL|Indeks unik adalah indeks dalam MySQL yang memastikan bahwa setiap nilai dalam kolom yang diindeks adalah unik, sehingga memungkinkan pencarian yang efisien dan mencegah duplikasi data.
Bagaimana cara membuat indeks unik dalam MySQL|Anda dapat membuat indeks unik dalam MySQL dengan menambahkan indeks yang unik ke kolom yang diinginkan saat membuat atau mengubah tabel.
Apa itu indeks non-unik (non-unique index) dalam MySQL|Indeks non-unik adalah indeks dalam MySQL yang memungkinkan duplikasi nilai dalam kolom yang diindeks, yang berguna untuk meningkatkan kinerja pencarian tetapi tidak memastikan keunikan nilai.
Bagaimana cara membuat indeks non-unik dalam MySQL|Anda dapat membuat indeks non-unik dalam MySQL dengan menambahkan indeks ke kolom yang diinginkan saat membuat atau mengubah tabel tanpa menambahkan klausa UNIQUE.
Apa itu indeks gabungan (composite index) dalam MySQL|Indeks gabungan adalah indeks dalam MySQL yang terdiri dari beberapa kolom, yang memungkinkan pencarian yang efisien berdasarkan kombinasi nilai dari kolom tersebut.
Bagaimana cara membuat indeks gabungan dalam MySQL|Anda dapat membuat indeks gabungan dalam MySQL dengan menambahkan indeks ke beberapa kolom sekaligus saat membuat atau mengubah tabel.
Apa itu statistik query (query statistics) dalam MySQL|Statistik query adalah informasi yang diterima oleh server MySQL tentang kinerja eksekusi kueri, seperti waktu eksekusi, jumlah baris yang diproses, dan penggunaan sumber daya.
Bagaimana cara mengakses statistik query dalam MySQL|Anda dapat mengakses statistik query dalam MySQL dengan menggunakan perintah EXPLAIN sebelum kueri untuk melihat rencana eksekusi kueri dan menggunakan alat pemantauan kinerja untuk menganalisis statistik kueri.
Apa itu partisi tabel (table partitioning) dalam MySQL|Partisi tabel adalah teknik yang digunakan dalam MySQL untuk membagi data tabel menjadi bagian-bagian yang lebih kecil yang disebut partisi, yang dapat meningkatkan kinerja dan manajabilitas.
Bagaimana cara melakukan partisi tabel dalam MySQL|Anda dapat melakukan partisi tabel dalam MySQL dengan menentukan klausa PARTITION BY saat membuat tabel dan menentukan kriteria partisi seperti kolom yang digunakan untuk partisi.
Apa itu partisi horizontal (horizontal partitioning) dalam MySQL|Partisi horizontal adalah teknik partisi tabel dalam MySQL di mana data dibagi menjadi beberapa partisi yang disimpan di lokasi yang berbeda, biasanya berdasarkan rentang nilai atau kunci tertentu.
Apa itu partisi vertikal (vertical partitioning) dalam MySQL|Partisi vertikal adalah teknik partisi tabel dalam MySQL di mana kolom tabel dibagi menjadi kelompok-kelompok yang disimpan di lokasi yang berbeda, biasanya berdasarkan kriteria fungsional atau akses.
Apa itu partisi berbasis kunci (key-based partitioning) dalam MySQL|Partisi berbasis kunci adalah teknik partisi tabel dalam MySQL di mana data dibagi menjadi beberapa partisi berdasarkan nilai dari satu atau beberapa kolom kunci yang ditentukan.
Apa itu partisi berbasis rentang (range partitioning) dalam MySQL|Partisi berbasis rentang adalah teknik partisi tabel dalam MySQL di mana data dibagi menjadi beberapa partisi berdasarkan rentang nilai dari kolom tertentu, seperti tanggal atau nomor.
Apa itu partisi berbasis daftar (list partitioning) dalam MySQL|Partisi berbasis daftar adalah teknik partisi tabel dalam MySQL di mana data dibagi menjadi beberapa partisi berdasarkan nilai yang cocok dengan daftar nilai yang ditentukan.
Apa itu partisi berbasis hash (hash partitioning) dalam MySQL|Partisi berbasis hash adalah teknik partisi tabel dalam MySQL di mana data dibagi menjadi beberapa partisi berdasarkan nilai hasil hash dari satu atau beberapa kolom kunci.
Apa itu partisi berbasis kolumnar (columnar partitioning) dalam MySQL|Partisi berbasis kolumnar adalah teknik partisi tabel dalam MySQL di mana data dibagi menjadi beberapa partisi berdasarkan kolom-kolom tertentu yang dipilih.
Apa itu partisi berbasis round-robin (round-robin partitioning) dalam MySQL|Partisi berbasis round-robin adalah teknik partisi tabel dalam MySQL di mana data dibagi secara merata ke dalam beberapa partisi tanpa memperhatikan nilai atau kriteria tertentu.
Apa itu penyimpanan berbasis kolom (columnar storage) dalam MySQL|Penyimpanan berbasis kolom adalah teknik penyimpanan yang memungkinkan data dalam tabel disimpan berdasarkan kolom daripada baris, yang dapat meningkatkan kinerja pada operasi pembacaan kolom tertentu.
Apa itu penyimpanan berbasis baris (row-based storage) dalam MySQL|Penyimpanan berbasis baris adalah teknik penyimpanan di mana data dalam tabel disimpan berdasarkan baris daripada kolom, yang lebih umum dalam sistem manajemen basis data relasional seperti MySQL.
Apa itu penyimpanan berbasis teks (text-based storage) dalam MySQL|Penyimpanan berbasis teks adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format teks di dalam kolom tabel.
Apa itu penyimpanan berbasis biner (binary-based storage) dalam MySQL|Penyimpanan berbasis biner adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format biner di dalam kolom tabel.
Apa itu penyimpanan berbasis angka (number-based storage) dalam MySQL|Penyimpanan berbasis angka adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format angka di dalam kolom tabel.
Apa itu penyimpanan berbasis tanggal dan waktu (datetime-based storage) dalam MySQL|Penyimpanan berbasis tanggal dan waktu adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format tanggal dan waktu di dalam kolom tabel.
Apa itu penyimpanan berbasis JSON (JSON-based storage) dalam MySQL|Penyimpanan berbasis JSON adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format JSON di dalam kolom tabel.
Apa itu penyimpanan berbasis XML (XML-based storage) dalam MySQL|Penyimpanan berbasis XML adalah fitur MySQL yang memungkinkan Anda menyimpan dan mengelola data dalam format XML di dalam kolom tabel.
Apa itu penyimpanan berbasis teks panjang (long text-based storage) dalam MySQL|Penyimpanan berbasis teks panjang adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data teks yang panjang di dalam kolom tabel.
Apa itu penyimpanan berbasis teks pendek (short text-based storage) dalam MySQL|Penyimpanan berbasis teks pendek adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data teks yang pendek di dalam kolom tabel.
Apa itu penyimpanan berbasis desimal (decimal-based storage) dalam MySQL|Penyimpanan berbasis desimal adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format desimal di dalam kolom tabel.
Apa itu penyimpanan berbasis integer (integer-based storage) dalam MySQL|Penyimpanan berbasis integer adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format integer di dalam kolom tabel.
Apa itu penyimpanan berbasis float (float-based storage) dalam MySQL|Penyimpanan berbasis float adalah teknik penyimpanan yang memungkinkan Anda menyimpan dan mengelola data dalam format floating point di dalam kolom tabel.